Date	Confirmed cases	Deaths
27.10.2020	13161	30
28.10.2020	16202	97
29.10.2020	18733	87
30.10.2020	19382	86
31.10.2020	14054	92
1.11.2020	12556	30
2.11.2020	25252	156
3.11.2020	7533	48
4.11.2020	31480	232
5.11.2020	22561	161
6.11.2020	22820	130
7.11.2020	14122	66
8.11.2020	14510	66
9.11.2020	6522	36
10.11.2020	26547	373
11.11.2020	22401	213
12.11.2020	24738	222
13.11.2020	22261	188
14.11.2020	14640	107
15.11.2020	3213	62
16.11.2020	14580	260
17.11.2020	26231	305
18.11.2020	23727	252
19.11.2020	24041	272
20.11.2020	22593	256
21.11.2020	13872	143
22.11.2020	4377	98
23.11.2020	14455	301
24.11.2020	16370	372
25.11.2020	32687	378
26.11.2020	21951	430
27.11.2020	20819	371
28.11.2020	13845	170
29.11.2020	3197	125
30.11.2020	14221	388
1.12.2020	24766	483
2.12.2020	23275	482
3.12.2020	23591	438
4.12.2020	15970	480
5.12.2020	26126	262
6.12.2020	10910	150
7.12.2020	5456	445
8.12.2020	29263	568
9.12.2020	25089	458
10.12.2020	32734	604
11.12.2020	27217	503
12.12.2020	21792	333
13.12.2020	14709	206
14.12.2020	6451	528
15.12.2020	33825	910
16.12.2020	32744	729
17.12.2020	30179	754
18.12.2020	32830	727
19.12.2020	21679	417
20.12.2020	6444	229
21.12.2020	19256	710
22.12.2020	36153	986
23.12.2020	33758	813
24.12.2020	26467	421
25.12.2020	2140	250
26.12.2020	13504	366
27.12.2020	12399	351
28.12.2020	14004	848
29.12.2020	19466	1122
30.12.2020	49044	963
31.12.2020	19367	561
1.01.2021	2117	354
2.01.2021	10903	335
3.01.2021	10356	311
4.01.2021	12320	957
5.01.2021	18349	1009
6.01.2021	26663	1078
7.01.2021	45333	1152
8.01.2021	19077	1035
9.01.2021	22824	575
10.01.2021	948	339
11.01.2021	11706	863
12.01.2021	27210	1090
13.01.2021	25566	1207
14.01.2021	21343	1111
15.01.2021	8593	498
16.01.2021	14817	759
17.01.2021	11484	437
18.01.2021	9253	362
19.01.2021	12233	1734
20.01.2021	29003	1013
21.01.2021	8277	866
22.01.2021	16366	837
23.01.2021	12430	160
24.01.2021	10078	423
25.01.2021	6887	831
26.01.2021	9387	492
27.01.2021	15636	879
