Date	Confirmed cases	Deaths
1.10.2020	1967	30
2.10.2020	2292	27
3.10.2020	2367	34
4.10.2020	1934	26
5.10.2020	2006	29
6.10.2020	2236	58
7.10.2020	3003	75
8.10.2020	4280	75
9.10.2020	4739	52
10.10.2020	5300	53
11.10.2020	4178	32
12.10.2020	4394	35
13.10.2020	5068	62
14.10.2020	6526	116
15.10.2020	8099	91
16.10.2020	7705	132
17.10.2020	9622	84
18.10.2020	8536	49
19.10.2020	7482	41
20.10.2020	9291	107
21.10.2020	10040	130
22.10.2020	12107	168
23.10.2020	13632	153
24.10.2020	13628	179
25.10.2020	11742	87
26.10.2020	10241	45
27.10.2020	16300	132
28.10.2020	18820	234
29.10.2020	20156	300
30.10.2020	21629	202
31.10.2020	21897	280
1.11.2020	17171	152
2.11.2020	15578	92
3.11.2020	19364	227
4.11.2020	24692	373
5.11.2020	27143	367
6.11.2020	27086	445
7.11.2020	27875	349
8.11.2020	24785	236
9.11.2020	21713	173
10.11.2020	25454	330
11.11.2020	25221	430
12.11.2020	22683	275
13.11.2020	24051	419
14.11.2020	25571	546
15.11.2020	21854	303
16.11.2020	20816	143
17.11.2020	19152	357
18.11.2020	19883	603
19.11.2020	23975	637
20.11.2020	22464	626
21.11.2020	24213	574
22.11.2020	17856	330
23.11.2020	15002	156
24.11.2020	32733	540
25.11.2020	15356	674
26.11.2020	16690	580
27.11.2020	17304	579
28.11.2020	15177	599
29.11.2020	11482	283
30.11.2020	5736	121
1.12.2020	9113	449
2.12.2020	13823	609
3.12.2020	14863	620
4.12.2020	13236	531
5.12.2020	12427	502
6.12.2020	9176	228
7.12.2020	4421	92
8.12.2020	8310	411
9.12.2020	12166	568
10.12.2020	13750	470
11.12.2020	13105	544
12.12.2020	11499	502
13.12.2020	8976	188
14.12.2020	4896	96
15.12.2020	6874	349
16.12.2020	12455	605
17.12.2020	11953	431
18.12.2020	11010	426
19.12.2020	11246	483
20.12.2020	8590	143
21.12.2020	4633	77
22.12.2020	7192	309
23.12.2020	12358	472
24.12.2020	13115	497
25.12.2020	9081	240
26.12.2020	4878	69
27.12.2020	3842	57
28.12.2020	3211	29
29.12.2020	7624	307
30.12.2020	12780	565
31.12.2020	13464	535
1.01.2021	10896	402
2.01.2021	7006	102
3.01.2021	5782	61
4.01.2021	4385	42
5.01.2021	7596	341
6.01.2021	14220	553
7.01.2021	12119	186
8.01.2021	8763	333
9.01.2021	10744	437
10.01.2021	9133	178
11.01.2021	4863	75
12.01.2021	5394	329
13.01.2021	9126	481
14.01.2021	9457	382
15.01.2021	7958	388
16.01.2021	7292	369
17.01.2021	5970	142
18.01.2021	3332	52
19.01.2021	4890	291
20.01.2021	6943	443
21.01.2021	7008	420
22.01.2021	6693	347
23.01.2021	6431	345
24.01.2021	4566	110
25.01.2021	2674	38
26.01.2021	4603	264
27.01.2021	6790	389
28.01.2021	7153	389
29.01.2021	6145	337
30.01.2021	5864	302
31.01.2021	4711	98
1.02.2021	2504	42
2.02.2021	4326	254
3.02.2021	6801	421
4.02.2021	6495	447
5.02.2021	6053	368
6.02.2021	5966	282
7.02.2021	4725	93
8.02.2021	2431	45
9.02.2021	3999	228
10.02.2021	6960	361
11.02.2021	7013	456
12.02.2021	6378	247
13.02.2021	6585	285
14.02.2021	5334	98
15.02.2021	2542	25
16.02.2021	5176	196
17.02.2021	8699	280
18.02.2021	9074	274
19.02.2021	8772	241
20.02.2021	8509	254
21.02.2021	7040	94
22.02.2021	3891	17
23.02.2021	6304	248
24.02.2021	12147	372
25.02.2021	12143	286
26.02.2021	11536	259
27.02.2021	12097	303
28.02.2021	10101	113
1.03.2021	4786	24
2.03.2021	7936	215
3.03.2021	15698	352
4.03.2021	15253	289
5.03.2021	15831	263
6.03.2021	14855	247
7.03.2021	13569	126
8.03.2021	6169	32
9.03.2021	9953	282
10.03.2021	17277	398
11.03.2021	21111	376
12.03.2021	18873	351
13.03.2021	21063	344
14.03.2021	17272	110
15.03.2021	10895	28
16.03.2021	14394	372
17.03.2021	25053	454
18.03.2021	27274	356
19.03.2021	25996	419
20.03.2021	26456	352
21.03.2021	21850	141
22.03.2021	14579	65
23.03.2021	16740	396
24.03.2021	30802	579
25.03.2021	34150	520
26.03.2021	35145	445
27.03.2021	31759	448
28.03.2021	29266	131
29.03.2021	16973	48
30.03.2021	20862	460
31.03.2021	32891	653
1.04.2021	35253	620
2.04.2021	30541	500
3.04.2021	28073	572
4.04.2021	22958	204
5.04.2021	9921	64
6.04.2021	8246	60
7.04.2021	14908	638
8.04.2021	27890	956
9.04.2021	28499	768
10.04.2021	24892	749
11.04.2021	21733	245
12.04.2021	12016	60
13.04.2021	13203	645
14.04.2021	21266	804
15.04.2021	21126	682
16.04.2021	17846	596
17.04.2021	15786	617
18.04.2021	12151	207
19.04.2021	7302	101
20.04.2021	9244	601
21.04.2021	13922	739
22.04.2021	12763	695
23.04.2021	10866	539
